"pid","grp","duration","entry","exit"
1,"inactive",1,0,31
5,"inactive",1,0,23
10,"inactive",1,0,24
13,"inactive",1,0,20
25,"inactive",1,0,24
26,"inactive",1,0,20
28,"inactive",1,0,19
31,"inactive",1,0,20
36,"inactive",1,1,20
46,"inactive",1,1,27
48,"inactive",1,1,21
54,"inactive",1,1,29
72,"inactive",2,2,33
81,"inactive",2,2,27
87,"inactive",2,2,29
95,"inactive",2,2,27
101,"inactive",2,2,29
108,"inactive",3,3,35
116,"inactive",3,3,30
131,"inactive",3,3,33
133,"inactive",3,3,32
138,"inactive",4,4,33
141,"inactive",4,4,36
165,"inactive",4,4,37
166,"inactive",4,4,37
176,"inactive",5,5,40
179,"inactive",5,5,40
181,"inactive",5,5,41
195,"inactive",5,5,44
197,"inactive",5,5,42
202,"inactive",5,5,43
203,"inactive",5,5,39
214,"inactive",6,6,46
223,"inactive",6,6,44
244,"inactive",7,7,47
253,"inactive",7,7,51
261,"inactive",7,7,47
264,"inactive",7,7,48
276,"inactive",8,8,51
278,"inactive",8,8,47
279,"inactive",8,8,52
302,"inactive",9,9,52
313,"inactive",10,10,53
323,"inactive",10,10,56
333,"inactive",10,10,59
336,"inactive",10,10,58
345,"inactive",10,10,61
349,"inactive",11,11,61
356,"inactive",11,11,61
358,"inactive",11,11,63
367,"inactive",11,11,63
368,"inactive",11,11,61
375,"inactive",12,12,63
385,"inactive",12,12,74
399,"inactive",12,12,64
408,"inactive",13,13,65
424,"inactive",13,13,73
429,"inactive",13,13,76
439,"inactive",14,14,68
444,"inactive",14,14,71
449,"inactive",14,14,73
453,"inactive",14,14,76
462,"inactive",15,15,75
478,"inactive",15,15,81
483,"inactive",16,16,74
490,"inactive",16,16,79
501,"inactive",16,16,82
506,"inactive",16,16,82
532,"inactive",17,17,83
539,"inactive",18,18,86
540,"inactive",18,18,84
541,"inactive",18,18,84
543,"inactive",18,18,84
553,"inactive",18,18,85
557,"inactive",18,18,88
560,"inactive",18,18,85
566,"inactive",19,19,90
585,"inactive",19,19,90
587,"inactive",19,19,89
603,"inactive",20,20,94
606,"inactive",20,20,95
613,"inactive",20,20,95
618,"inactive",20,20,92
621,"inactive",20,20,91
629,"inactive",21,21,96
630,"inactive",21,21,99
655,"inactive",21,21,102
667,"inactive",22,22,100
680,"inactive",22,22,107
691,"inactive",22,22,103
